column_name,category_en,category_cn,frequency_band,brain_region,description_en,description_cn,physiological_meaning_en,physiological_meaning_cn,computation_en,computation_cn,unit_notes_en,unit_notes_cn
subject_id,Identifier,受试者标识,-,-,"Subject identifier (e.g., S01, S02, ..., S40). The first unnamed column in the raw data file, used as a row label only and not as a feature.","受试者编号（如 S01、S02、……、S40）。原始数据文件中未命名的第一列，仅作为行标识使用，不参与特征分析。","N/A — used to index each participant's EEG recording and link it to behavioral/performance data.","无生理学含义——仅用于标识每位被试的脑电记录，并与行为/绩效数据进行关联。","Assigned during data collection; preserved as the CSV index.","数据采集阶段分配；在 CSV 中作为索引保留。","String label.","字符串标签。"
conn_frontal_central,Functional Connectivity,功能连通性,broadband,frontal-central,"Pairwise functional connectivity between the frontal and central regions, quantifying how synchronously the two regions' EEG signals fluctuate over time.","额叶与中央区之间的成对功能连通性，衡量两个脑区 EEG 信号随时间波动的同步程度。","Frontal–central coupling is closely related to executive control, top-down attention regulation, and the transmission of cognitive commands to sensorimotor areas. Increased coupling often reflects stronger cognitive-motor integration during task engagement.","额叶—中央区耦合与执行控制、自上而下的注意调控以及认知指令向感觉运动区的传递密切相关。耦合增强通常反映任务参与时更强的认知—运动整合。","Typically computed via phase-locking value (PLV), coherence, or weighted phase lag index (wPLI) on band-pass-filtered EEG, then averaged across electrode pairs within each region pair. Values are z-scored across subjects so that negative numbers are allowed.","通常对带通滤波后的 EEG 计算相位锁定值（PLV）、相干性（coherence）或加权相位滞后指数（wPLI），并在同一脑区对内的电极对间求平均。数值在受试者间做 z-score 标准化，因此可能出现负数。","z-score across subjects.","受试者间 z 标准化分数。"
conn_frontal_parietal,Functional Connectivity,功能连通性,broadband,frontal-parietal,"Functional connectivity between the frontal and parietal regions; a core long-range connection of the fronto-parietal network.","额叶与顶叶之间的功能连通性；额顶网络的核心远程连接。","The fronto-parietal network underlies working memory, goal-directed attention, and cognitive control. Stronger frontal–parietal coupling is associated with higher cognitive load handling and more flexible attentional allocation.","额顶网络是工作记忆、目标导向注意和认知控制的神经基础。额叶—顶叶耦合增强与更强的认知负荷承受能力和更灵活的注意分配有关。","Same metric family as other conn_* features; averaged over electrode pairs bridging frontal and parietal regions.","与其他 conn_* 特征采用同族指标；在跨越额叶和顶叶电极对间求平均。","z-score across subjects.","受试者间 z 标准化分数。"
conn_frontal_occipital,Functional Connectivity,功能连通性,broadband,frontal-occipital,"Functional connectivity between the frontal and occipital regions.","额叶与枕叶之间的功能连通性。","Frontal–occipital coupling reflects top-down modulation of visual processing by prefrontal areas and is linked to visual attention, perceptual decision-making, and driving-scene monitoring.","额叶—枕叶耦合反映前额叶对视觉加工的自上而下调控，与视觉注意、知觉决策以及驾驶场景监控密切相关。","Averaged across cross-region electrode pairs using the same connectivity metric as other conn_* columns.","与其他 conn_* 列采用同样的连通性指标，在跨脑区电极对间求平均。","z-score across subjects.","受试者间 z 标准化分数。"
conn_frontal_temporal,Functional Connectivity,功能连通性,broadband,frontal-temporal,"Functional connectivity between the frontal and temporal regions.","额叶与颞叶之间的功能连通性。","Frontal–temporal coupling is implicated in language processing, auditory attention, emotional regulation, and memory retrieval; abnormal reductions are seen in fatigue and drowsiness.","额叶—颞叶耦合与语言处理、听觉注意、情绪调节及记忆提取有关；在疲劳与困倦状态下常出现异常降低。","Same computation as other conn_* features.","与其他 conn_* 特征计算方式相同。","z-score across subjects.","受试者间 z 标准化分数。"
conn_central_parietal,Functional Connectivity,功能连通性,broadband,central-parietal,"Functional connectivity between the central and parietal regions.","中央区与顶叶之间的功能连通性。","Central–parietal coupling is central to sensorimotor integration, spatial attention, and motor planning; it is especially relevant for steering control in driving tasks.","中央区—顶叶耦合是感觉运动整合、空间注意和运动规划的关键，在驾驶任务中对转向控制尤为重要。","Same computation as other conn_* features.","与其他 conn_* 特征计算方式相同。","z-score across subjects.","受试者间 z 标准化分数。"
conn_central_occipital,Functional Connectivity,功能连通性,broadband,central-occipital,"Functional connectivity between the central and occipital regions.","中央区与枕叶之间的功能连通性。","Central–occipital coupling reflects the visuomotor loop — the translation of visual input into motor actions — critical for lane keeping, braking, and obstacle avoidance.","中央区—枕叶耦合反映视觉—运动回路，即将视觉输入转化为运动动作的过程，对车道保持、制动和避障至关重要。","Same computation as other conn_* features.","与其他 conn_* 特征计算方式相同。","z-score across subjects.","受试者间 z 标准化分数。"
conn_central_temporal,Functional Connectivity,功能连通性,broadband,central-temporal,"Functional connectivity between the central and temporal regions.","中央区与颞叶之间的功能连通性。","Central–temporal coupling is associated with auditory-motor integration and sensorimotor binding of multimodal information, such as linking auditory warnings to motor responses while driving.","中央区—颞叶耦合与听觉—运动整合以及多模态信息的感觉运动绑定有关，例如将驾驶中的听觉预警与运动反应相联系。","Same computation as other conn_* features.","与其他 conn_* 特征计算方式相同。","z-score across subjects.","受试者间 z 标准化分数。"
conn_parietal_occipital,Functional Connectivity,功能连通性,broadband,parietal-occipital,"Functional connectivity between the parietal and occipital regions.","顶叶与枕叶之间的功能连通性。","Parietal–occipital coupling is a hallmark of the dorsal visual stream (""where/how"" pathway), supporting spatial perception, visual attention, and visually guided action.","顶叶—枕叶耦合是背侧视觉通路（“where/how”通路）的标志性连接，支持空间知觉、视觉注意以及视觉引导的动作。","Same computation as other conn_* features.","与其他 conn_* 特征计算方式相同。","z-score across subjects.","受试者间 z 标准化分数。"
conn_parietal_temporal,Functional Connectivity,功能连通性,broadband,parietal-temporal,"Functional connectivity between the parietal and temporal regions.","顶叶与颞叶之间的功能连通性。","Parietal–temporal coupling relates to multisensory integration at the temporo-parietal junction (TPJ), attention reorientation, and situational awareness.","顶叶—颞叶耦合与颞顶联合区（TPJ）的多感觉整合、注意重定向以及情境觉知有关。","Same computation as other conn_* features.","与其他 conn_* 特征计算方式相同。","z-score across subjects.","受试者间 z 标准化分数。"
conn_occipital_temporal,Functional Connectivity,功能连通性,broadband,occipital-temporal,"Functional connectivity between the occipital and temporal regions.","枕叶与颞叶之间的功能连通性。","Occipital–temporal coupling corresponds to the ventral visual stream (""what"" pathway), supporting object recognition, face processing, and scene categorization.","枕叶—颞叶耦合对应腹侧视觉通路（“what”通路），支持物体识别、面孔加工和场景分类。","Same computation as other conn_* features.","与其他 conn_* 特征计算方式相同。","z-score across subjects.","受试者间 z 标准化分数。"
strength,Graph Metric,图论指标,broadband,whole-brain,"Node strength of the brain functional network: the sum of connection weights incident to each node, then averaged (or taken as a representative network-level value).","脑功能网络的节点强度：每个节点相连的所有连接权重之和，再取平均（或作为网络层面的代表值）。","Higher node strength indicates that brain regions receive/send more information through the functional network, reflecting stronger overall cortical communication. Reduced strength is linked to fatigue, low arousal, and impaired cognitive performance.","节点强度越高，表明脑区在功能网络中接收/发送的信息量越大，反映更强的整体皮层通讯能力。强度降低与疲劳、低觉醒水平以及认知绩效下降相关。","Derived from the weighted adjacency matrix W: strength_i = sum_j W_ij; the column stores the mean (or aggregate) across nodes.","从加权邻接矩阵 W 得到：strength_i = Σ_j W_ij；该列存储所有节点的均值（或聚合值）。","Arbitrary units (depends on the underlying connectivity metric).","任意单位（取决于所用连通性指标）。"
